Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Physical Attack,2012,5/31/12,11:45 PM,6/1/12,4:30 AM,American Electric Power (AEP),"Columbus, Ohio",RFC,0,0,"vandalism, physical"
Vandalism,2012,5/7/12,12:50 PM,5/7/12,2:00 PM,ISO New England,"Williston, Vermont",NPCC,0,0,vandalism
Suspected Physical Attack,2012,4/17/12,6:11 AM,4/17/12,5:48 PM,San Diego Gas & Electric Company,"San Diego County, California",WECC,0,0,"vandalism, physical"
Vandalism,2012,4/11/12,9:00 AM,4/11/12,9:00 AM,North Attleborough Electric Department,"North Attleboro, Massachusetts",NPCC,0,0,vandalism
Physical Attack,2012,4/7/12,2:35 PM,4/7/12,2:36 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/12,12:25 PM,4/7/12,12:26 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/7/12,9:31 AM,4/7/12,9:32 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,4/3/12,3:33 PM,4/3/12,8:25 PM,Seattle City Light,"Seattle, Washington",WECC,0,0,"vandalism, physical"
Vandalism,2012,4/3/12,11:10 AM,4/3/12,11:25 AM,ISO New England,"West Rutland, Vermont",NPCC,0,0,vandalism
Vandalism,2012,4/1/12,8:27 PM,4/3/12,8:28 AM,Mid American Energy Company,"Council Bluffs, Iowa",MRO,0,0,vandalism
Electrical System Separation (Islanding),2012,3/29/12,12:01 PM,3/29/12,12:02 PM,Lansing Board of Water & Light,"Lansing, Michigan",RFC,UNK,0,islanding
Suspected Physical Attack,2012,3/23/12,7:34 PM,3/23/12,7:34 PM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,3/16/12,4:00 PM,3/16/12,4:00 PM,Delmarva Power & Light Company,"New Castle, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/23/12,5:45 AM,2/23/12,3:02 PM,City of College Station,"South East College Station, Texas",TRE,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/23/12,11:12 PM,2/24/12,1:00 AM,ISO New England,"Londonderry, New Hampshire",NPCC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/15/12,5:33 AM,2/15/12,5:30 PM,Puget Sound Energy,"Port Orchard, Washington",WECC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,2/11/12,8:47 AM,2/11/12,10:30 AM,Xcel Energy (Public Service Company of Colorado),"Lamar, Colorado",WECC,0,0,"vandalism, physical"
Suspected Cyber Attack,2012,1/17/12,10:31 AM,1/17/12,5:21 PM,"Pedernales Electric Cooperative, Inc.","Austin, Texas",TRE,N/A,0,"vandalism, cyber"
Physical Attack,2012,1/13/12,9:20 AM,1/13/12,9:20 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Physical Attack,2012,1/12/12,8:26 AM,1/12/12,8:26 AM,Delmarva Power & Light Company,"Newark, Delaware",RFC,0,0,"vandalism, physical"
Suspected Physical Attack,2012,1/11/12,7:19 AM,1/11/12,9:07 AM,Nevada Power Company (NV Energy),Nevada,WECC,0,0,"vandalism, physical"
Sabotage,2012,1/5/12,10:35 AM,1/5/12,12:25 PM,American Electric Power,"CSWS/AEP West territory, Oklahoma",SPP,0,0,vandalism
Suspected Cyber Attack,2011,12/21/11,10:30 AM,12/21/11,10:30 AM,Idaho Power Company,"Boise, Idaho",WECC,0,0,"vandalism, cyber"
Suspected Physical Attack,2011,12/13/11,3:19 AM,12/14/11,3:19 AM,Dayton Power & Light,Clinton County Ohio,RFC,N/A,0,"vandalism, physical"
Suspected Physical Attack,2011,12/6/11,5:38 PM,12/7/11,11:04 AM,ITC Holdings,"Montague, Michigan",RFC,0,0,"vandalism, physical"
Vandalism,2011,11/30/11,10:00 AM,11/30/11,11:00 AM,City of Tacoma - TPWR,"Orchard Substation, Washington",WECC,0,0,vandalism
Suspected Physical Attack,2011,11/22/11,11:16 PM,11/22/11,11:16 PM,Northern Indiana Public Service Co,Indiana,RFC,0,0,"vandalism, physical"
Vandalism,2011,11/14/11,2:24 PM,11/14/11,2:24 PM,Atlantic City Electric,"McKee, New Jersey",RFC,0,0,vandalism
Vandalism,2011,11/13/11,11:30 AM,11/13/11,12:00 PM,ISO New England / obo Public Service of New Hampshire,"Cate Road, Deerfield, New Hampshire",NPCC,0,0,vandalism
Vandalism,2011,11/4/11,10:46 AM,11/4/11,10:46 AM,PacifiCorp,"Sweetwater County, Wyoming",WECC,0,0,vandalism
