Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather,2011,3-13-2011,2:20 PM,3-14-2011,3:46 PM,PacifiCorp,Oregon,WECC,UNK,9000,severe weather
Load Shed-Made Public Appeals-Rolling Blackouts,2006,4-17-2006,4:20 p.m.,4-17-2006,6:30 p.m.,Austin Energy,State of Texas (all of Austin Energy),ERCOT,37- 40,9000,"load shedding, public appeal"
Physical Attack,2013,10-6-2013,7:25 AM,10-6-2013,9:15 AM,MISO- AECC,"Jacksonville, Arkansas",SPP,Unknown,9200,"vandalism, physical"
Electrical System Separation,2007,9-17-2007,7:01 p.m.,9-17-2007,7:48 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,50,9600,islanding
Shed Load,2009,1-22-2009,4:00 p.m.,1-22-2009,5:05 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,50,9700,load shedding
Shed Firm Load,2008,12-30-2008,4:02 p.m.,12-30-2008,4:37 p.m.,Crawfordsville Electric Light and Power,"Crawfordsville, Indiana",RFC,41,9700,load shedding
Electrical System Separation,2008,6-15-2008,7:06 p.m.,6-15-2008,8:42 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,57,9700,islanding
Electric System Separation,2008,5-11-2008,4:50 p.m.,5-11-2008,8:43 p.m.,Crawfordsville Electric Light and Power,"City of Crawfordsville, Indiana",RFC,47,9700,islanding
Transmission System Interruption,2012,10-23-2012,9:10 AM,10-23-2012,9:16 AM,"Crawfordsville Electric, Light & Power","Crawfordsville, Indiana",RFC,49,9800,transmission interruption
Ice Storm,2004,1-26-2004,4:00 p.m.,1-29-2004,6:30 a.m.,Progress Energy- Carolinas (Carolina Power and Light),Central and Eastern North Carolina and Northern and Eastern South Carolina,SERC,475,9905,"severe weather, winter storm"
Transmission Level Interruption,2011,5-26-2011,1:00 AM,5-26-2011,6:00 AM,Greenwood Utilities Commission,"Greenwood, Mississippi",SERC,30,10000,transmission interruption
Electrical System Separation,2008,9-30-2008,2:02 p.m.,9-30-2008,2:05 p.m.,Pacific Gas and Electric Company,"Plumas County, California",WECC,30,10000,islanding
Severe Weather,2000,5-25-2000,10:00 a.m.,6-2-2000,6:00:00 AM,Duke Power,North Carolina,SERC,450-500,10000,severe weather
Electrical System Separation,2008,2-15-2008,3:06 p.m.,2-15-2008,7:36 p.m.,Pacific Gas and Electric Company,"Antioch, California",WECC,10,10008,islanding
Equipment Malfunction,2011,4-20-2011,8:07 AM,4-20-2011,8:14 AM,City of Ruston & Constellation Energy,"Ruston, Louisiana",SERC,33,11000,equipment failure
Complete Electric System Failure,2009,4-24-2009,11:09 a.m.,4-24-2009,11:21 a.m.,Constellation Energy,"Ruston, Louisiana",SERC,32,11000,unknown
Circuit failure-fire,2000,8-10-2000,NA,N-A,N-A,Commonwealth Edison Co.,Illinois,MAIN,NA,11000,"wild fire, equipment failure"
Electrical System Separation-Load Shedding- Implemented Emergency Alert- Severe Storms,2007,9-18-2007,5:15 a.m.,9-18-2007,12:00 a.m.,Midwest ISO,"Manitoba, Minnesota, North Dakota, Portions of South Dakota and Wisconsin.  Midwest ISO's Market subregions: OTP, NSP, GRE, ALTW, MP",RFC,"8,000-2010,000",11175,"severe weather, storm, islanding, load shedding"
Thunderstorms,2010,8-4-2010,4:45 p.m.,8-7-2010,12:00 AM,Allegheny Power,"Western Pennsylvania, Northwestern and Central West Virginia",RFC,60,11186,"severe weather, thunderstorm"
Distribution Interruption,2013,1-17-2013,8:35 PM,1-17-2013,9:20 PM,North Carolina Eastern M P A,"Elizabeth City, North Carolina",SERC,40,12000,distribution interruption
Transmission Interruption,2012,12-31-2012,2:21 PM,12-31-2012,4:30 PM,City of Washington- (NC),North Carolina,SERC,40,12000,transmission interruption
Public Appeal to Reduce Electricity Usage,2011,6-6-2011,3:00 PM,6-8-2011,3:00 PM,West Memphis Utilities,"Eastern, Arkansas",SPP,UNK,13000,public appeal
Severe Weather,2011,4-26-2011,6:14 PM,4-28-2011,5:00 PM,West Memphis Utilities,Eastern Arkansas,SPP,50,13000,severe weather
B-phase to ground fault,2000,7-3-2000,NA,NA,NA,Alaska Elec Light & Power,Alaska,ASCC,35,14273,equipment failure
Electrical System Separation (Islanding),2011,8-8-2011,7:36 PM,8-9-2011,12:00 PM,Oklahoma Municipal Power Authority,Oklahoma,SPP,92,14500,islanding
Electrical System Separation (Islanding),2010,9-1-2010,10:20 a.m.,9-1-2010,12:44 PM,Pacific Gas and Electric,"Pittsburg (Bay Area), California",WECC,31,15000,islanding
Severe Weather,2006,12-30-2006,10:25 p.m.,1-6-2006,2:25 p.m.,Nebraska Public Power District,"Gosper, Harlan, Franklin, Webster, Clay, Adams, Kearney, Phelps, Dawson, Buffalo, Hall, Hamilton, Sherman, Custer, Valley, Greeley, Howard, Merrick, York, Fillmore, Nance, Boone, Wheeler, Madison, Antelope, Pierce, Platte and Seward Counties in Central Nebraska",MRO,300-500,15000,severe weather
Transmission Equipment,2003,12-5-2003,4:49 a.m.,12-5-2003,6:25 a.m.,City of Homestead,State of Florida- Dade County,FRCC,27,16500,transmission interruption
High Winds,2008,9-14-2008,10:01 a.m.,9-21-2008,5:00 p.m.,Owensboro Municipal Utilities,"City of Owensboro, Kentucky",RFC,70,18000,"severe weather, wind"
Electrical System Separation-Severe Thunderstorms,2008,6-17-2008,8:35 p.m.,6-18-2008,1:55 a.m.,Southwestern Public Service Company,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,SPP,560,18000,"severe weather, thunderstorm, islanding"
Main Power Transformer Failure-Voltage Reduction-Fire,2006,12-29-2006,4:25 p.m.,12-31-2006,6:59 p.m.,Puerto Rico Electric Power Authority,North Part of the Island,PR,50,18386,"wild fire, equipment failure, voltage reduction"
Transformer Outage,2010,7-6-2010,3:47 a.m.,7-6-2010,4:37 AM,Delmarva Power & Light Company,"Newark, DE",RFC,95,18400,equipment failure
Public Appeal to Reduce Load,2004,2-14-2004,8:00 p.m.,2-16-2004,12 noon,National Grid (Niagara Mohawk),"Lake Colby, Lake Placid, Tupper Lake",NPCC,Approx. 30,18600,public appeal
Public Appeal to Reduce Load,2004,1-14-2004,6:00 a.m.,1-17-2004,12:00 noon,National Grid (New York),"Lake Placid-Saranac, New York",NPCC,100,18600,public appeal
Public Appeal to Reduce Load,2004,1-8-2004,3:00 p.m.,1-10-2004,7:00 p.m.,National Grid (New York),"Lake Placid-Saranac, New York",NPCC,100,18600,public appeal
Severe Weather,2011,5-22-2011,5:09 PM,5-31-2011,12:01 PM,Empire District Electric,"Joplin, Sarcoxie, and Wentworth, Missouri",SPP,200,20000,severe weather
Brush Fire-Load Shedding,2007,10-26-2007,6:44 a.m.,10-26-2007,10:46 a.m.,Southern California Edison Company,Southern Califonia,WECC,280,20345,"wild fire, load shedding"
Firm System Load Shed,2011,1-13-2011,7:21 AM,1-13-2011,8:13 AM,JEA,North Florida,FRCC,150,20900,load shedding
Flooding and Uncontrolled Loss,2008,6-12-2008,3:30 p.m.,6-18-2008,4:00 p.m.,"Midwest ISO, ITC, ALTW",East Central Iowa,RFC,200,21000,"severe weather, flooding, uncontrolled loss"
Generator Trip  Load Shed 100+ MW,2013,5-20-2013,5:22 PM,5-20-2013,9:09 PM,Entergy Transmission- SOC,Gonzales Area Louisiana,SERC,103,21800,"load shedding, generator trip"
Load Shed,2011,7-22-2011,11:34 AM,7-22-2011,5:26 PM,PJM Interconnection,Ohio,RFC,206,23000,load shedding
Hurricane Charley,2004,8-13-2004,10:04 p.m.,8-14-2004,4:23 p.m.,"Utilities Commission, City of New Smyrna Beach","New Smyrna Beach, Florida",FRCC,65,23000,"severe weather, hurricane-tropical storm"
Firm Load Interruption,2001,6-6-2001,4:22 p.m.,6-6-2001,7:09:00 PM,Central Power and Light Company,Rio Grand Valley of Texas,ERCOT,350,24506,load shedding
Severe Weather-Public Appeals Made-Voltage Reduction,2006,7-17-2006,6:50 p.m.,7-25-2006,3:06 a.m.,Consolidated Edison Company of NY,"Northwest Queens, New York City",NPCC,N-A,25000,"severe weather, public appeal, voltage reduction"
Severe Weather,2002,8-28-2002,2:09 PM,8-28-2002,3:38 AM,Lakeworth Utils,Florida,SERC,67.6,25000,severe weather
Interruption of Firm Power,2002,8-9-2002,8:23 AM,8-9-2002,12:13 PM,Lake Worth Utils,Florida,SERC,51,25000,load shedding
Made Public Appeal-Transmission Equipment Failure,2010,6-22-2010,3:34 p.m.,6-22-2010,7:00 PM,Entergy,West-Central Arkansas,SERC,84,25159,"public appeal, equipment failure"
Major Storm,2007,3-1-2007,9:40 p.m.,3-2-2007,11:30 p.m.,Southern Company,"Parts of Alabama, Mississippi, Georgia, Florida",SERC,95,25445,"severe weather, storm"
Shed Load,2007,8-29-2007,1:53 p.m.,8-29-2007,2:57 p.m.,Modesto Irrigation District,Modesto California and the Surrounding Areas,WECC,180,26000,load shedding
Hurricane Jeanne,2004,9-25-2004,5:00 p.m.,9-26-2004,9:00 a.m.,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,26000,"severe weather, hurricane-tropical storm"
Hurricane Frances,2004,9-3-2004,9:00 p.m.,9-5-2004,2:00 p.m.,Fort Pierce Utilities Authority,"City of Fort Pierce, Florida",FRCC,125,26000,"severe weather, hurricane-tropical storm"
Load shedding of 100 Megawatts,2014,4-23-2014,7:45 PM,4-23-2014,8:37 PM,MISO - Entergy Transmission,"Baton Rouge, Louisiana",SERC,163,28000,load shedding
Load Shed,2012,6-23-2012,6:57 PM,6-23-2012,7:28 PM,ISO New England,"North Shore, Massachusetts",NPCC,51,29250,load shedding
Load Shed,2006,6-1-2006,2:12 p.m.,6-1-2006,6:09 p.m.,Hawaiian Electric Company Inc.,Island of Oahu,HECO,120,29300,load shedding
Transmission System Interruption,2010,4-27-2010,2:55 p.m.,4-27-2010,2:55 PM,North Carolina Eastern Municipal Power Agency,"Rocky Mount, NC",SERC,N-A,29376,transmission interruption
Severe Storm,2010,1-19-2010,7:30 a.m.,1-19-2010,12:24 PM,California ISO,San Francisco,WECC,300,30000,"severe weather, storm"
Fault on Line,2004,6-14-2004,7:41 a.m.,6-14-2004,2:39 p.m.,Arizona Public Service,"Phoenix, Arizona",WECC,200,30000,equipment failure
Load Shed,2012,6-8-2012,5:20 PM,6-8-2012,5:25 PM,Public Service Company of Colorado,"Denver Metro Area, Colorado",WECC,120,30379,load shedding
Line Outages-Switch Fire,2000,6-28-2000,5:52 p.m.,6-28-2000,7:14:00 PM,Virginia Power-North Carolina Power,Virginia & North Carolina,SERC,175,30500,"wild fire, transmission interruption"
Ice Storm,2004,1-26-2004,2:00 p.m.,1-27-2004,8:00 p.m.,Southern Company,North and Central area of Georgia,SERC,Less than 150,30689,"severe weather, winter storm"
Firm Load Shed,2010,6-7-2010,6:29 p.m.,6-8-2010,1:00 AM,Public Service Company of Colorado,Denver Metropolitan Area,WECC,300,31000,load shedding
Transmission Equipment Failure,2009,1-8-2009,11:46 p.m.,1-9-2009,11:25 a.m.,Florida Keys Electric Cooperative Assoc. Inc.,Florida Keys,FRCC,55,31000,"equipment failure, transmission interruption"
Generating Resources Loss,2000,6-14-2000,1:13 p.m.,NA,NA,Calif. Indep. System Operator,California,WECC,130,32000,fuel supply emergency
Transmission Equipment Failure-Load Shedding,2008,6-23-2008,4:52 p.m.,6-23-2008,11:28 p.m.,Progress Energy Florida,"Pinellas County, Florida",FRCC,113,32593,"load shedding, equipment failure"
HIgh Winds,2007,4-16-2007,11:00 a.m.,4-16-2007,7:00 p.m.,"Progress Energy- Carolinas, Inc.",North and South Carolina,SERC,-,33000,"severe weather, wind"
Public Appeal to Reduce Electricity Usage,2011,12-6-2011,8:00 AM,12-6-2011,8:00 PM,Montana Dakota Utilities,"Bismarck-Mandan, North Dakota",MRO,155,34500,public appeal
Shed Firm Load- Reduced Voltage,2006,9-14-2006,8:56 a.m.,9-14-2006,9:08 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,59,34716,"load shedding, voltage reduction"
Load Shedding,2004,6-23-2004,5:35 p.m.,6-23-2004,7:10 p.m.,Idaho Power Company,Southern Idaho,WECC,157,35000,load shedding
Electrical System Separation (Islanding),2013,5-1-2013,9:22 AM,5-1-2013,9:24 AM,Xcel Energy-Public Service Company of Colorado,Northeast Colorado,WECC,123,35230,islanding
Ice,2009,10-13-2009,12:48 p.m.,10-13-2009,2:34 p.m.,Western Area Power Administration Upper Great Plains Region,Southeastern Wyoming,WECC,101,35500,"severe weather, winter storm"
Fault on 138 KV line,2003,12-4-2003,10:15 p.m.,12-8-2003,8:30 a.m.,Wisconsin Electric Power Company,Upper Peninsula of Michigan and Northeastern Wisconsin,MAIN,500,36000,equipment failure
Severe Weather,2010,8-4-2010,5:00 p.m.,8-6-2010,4:00 AM,American Electric Power,"Ohio, West Virginia, Kentucky",RFC,N-A,37000,severe weather
Relay Malfunction & Fire,2000,4-1-2000,NA,NA,NA,Virginia Power & Electrical Co.,Virginia,SERC,143,37000,"equipment failure, wild fire"
Thunderstorms-Uncontrolled Loss of Load,2008,6-17-2008,8:40 p.m.,6-17-2008,11:00 p.m.,"Golden Spread Electric Cooperative, Inc","Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",TRE,276,37330,"severe weather, thunderstorm, uncontrolled loss"
Brush Fire-Lines Loss-Transmission Emergency Declared,2008,7-2-2008,7:36 p.m.,7-3-2008,1:10 a.m.,Southern California Edison,Goleta and Santa Barbara Areas of Southern California,WECC,119,37784,wild fire
Severe Weather- Thunderstorms,2014,6-5-2014,3:00 AM,6-7-2014,11:45 PM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,494,38500,"severe weather, thunderstorm"
Loss of 300+ MW Load  Severe Weather- Thunderstorms,2013,6-13-2013,3:30 PM,6-13-2013,4:00 PM,Potomac Electric Power Company,District of Columbia  Maryland,RFC,700,40000,"severe weather, thunderstorm"
Transmission  Equipment,2003,9-7-2003,5:19 a.m.,9-7-2003,6:00 p.m.,"American Transmission Company, LLC",Upper Michigan Peninsula,MAIN,310,40000,transmission interruption
Tripped Lines Fire,2000,6-14-2000,3:54 p.m.,6-14-2000,5:00:00 PM,Tucson Electric Power,Arizona,WECC,138,40911,"wild fire, transmission interruption"
Severe Weather- Tornados,2013,5-20-2013,3:00 PM,5-22-2013,5:00 PM,Oklahoma Gas & Electric Co,"Moore, Oklahoma",SPP,Unknown,41306,"severe weather, tornado"
Severe Weather,2010,12-26-2010,8:15 a.m.,12-26-2010,4:15 PM,Progress Energy Carolinas,Carolina,SERC,N-A,42000,severe weather
Units Tripped,2004,7-13-2004,1:34 p.m.,7-13-2004,5:15 p.m.,City of Tallahassee,"Leon  County, Florida",FRCC,283,42124,generator trip
Ice Storm,2002,12-3-2002,6:30 PM,12-9-2002,10:30 AM,Entergy Corporation,Arkansas,SPP,NA,43000,"severe weather, winter storm"
Shed Firm Load,2008,9-22-2008,5:49 p.m.,9-22-2008,6:39 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,125,43600,load shedding
Loss of Transmission Equipment,2010,7-7-2010,4:13 p.m.,7-7-2010,10:29 PM,"PJM Interconnection, LLC","York, South Central Pennsylvania",RFC,N-A,43903,equipment failure
High Winds,2008,1-29-2008,11:23 p.m.,1-30-2008,12:48 a.m.,Dayton Power and Light,"South Metropolitan Areas of Dayton, OHio",RFC,380,45000,"severe weather, wind"
Transformer Faulted,2000,4-1-2000,NA,NA,NA,City of Lake Worth Utils,Texas,FRCC,46,45000,equipment failure
Severe Weather,2009,12-18-2009,10:55 p.m.,12-19-2009,11:15 p.m.,Progress Energy Carolinas Inc,Western North Carolina,SERC,N-A,47000,severe weather
Breaker Failure,2003,7-1-2003,3:15 p.m.,7-1-2003,3:50 p.m.,Arizona Public Service Company,"Phoenix, Arizona",WECC,"1,000",47000,equipment failure
Voltage Reduction-Load Shed,2005,8-1-2005,10:28 a.m.,8-1-2005,10:47 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,175,47116,"voltage reduction, load shedding"
Severe Storm,2004,2-26-2004,12:00 a.m.,2-26-2004,1:30 a.m.,Southern Company,Georgia,SERC,10,47165,"severe weather, storm"
Under Frequency-Load Shedding,2008,2-26-2008,1:09 p.m.,2-26-2008,2:10 p.m.,Florida Municipal Power Agency,Various Cities in Florida,FRCC,140,47661,load shedding
Severe Thunderstorms,2005,11-12-2005,4:00 p.m.,11-14-2005,6:00 p.m.,We Energies,Southeast Wisconsin,MAIN,10,48000,"severe weather, thunderstorm"
Severe Weather,2009,12-9-2009,1:37 p.m.,12-10-2009,6:30 a.m.,American Electric Power,Ohio,RFC,N-A,48102,severe weather
Electrical System Separation (Islanding),2013,11-12-2013,2:04 PM,11-12-2013,2:05 PM,Pacific Gas & Electric Co,"Valle, California",WECC,55,48400,islanding
Severe Weather- Thunderstorms,2014,4-12-2014,6:15 PM,4-14-2014,9:00 AM,Consumers Energy,Western and Central Michigan,RFC,Unknown,50000,"severe weather, thunderstorm"
Severe Weather- Ice-Snow,2013,12-22-2013,3:28 AM,12-28-2013,11:45 PM,Consumers Energy Co,"Southern Lower Penninsula, Michigan",RFC,Unknown,50000,"severe weather, winter storm"
Severe Weather- Thunderstorms,2013,11-17-2013,4:45 PM,11-21-2013,4:45 PM,Consumers Energy Co,Entire Lower Peninsula Michigan,RFC,Unknown,50000,"severe weather, thunderstorm"
Severe Weather- Winter Storm Nemo,2013,2-8-2013,8:00 PM,2-11-2013,8:30 PM,ISO New England-National Grid,Central and eastern Massachusetts  Rhode Island,NPCC,N-A,50000,"severe weather, winter storm"
Severe Weather- Winter Storm Nemo,2013,2-8-2013,8:55 PM,2-12-2013,4:00 AM,ISO New England-NSTAR,Boston area and Southeast Massachusetts,NPCC,Unknown,50000,"severe weather, winter storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,2:40 PM,10-30-2012,6:16 PM,ISO New England obo NSTAR,"Boston, Southeast Massachusetts",NPCC,Unknown,50000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,7:15 PM,10-30-2012,3:02 PM,ISO New England,Southeast and Seacoast Maine,NPCC,Unknown,50000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,4:03 PM,11-6-2012,12:00 PM,PSE&G,New Jersey,NPCC,Unknown,50000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,4:45 PM,10-31-2012,11:00 AM,ISO New England-PSNH,New Hampshire,NPCC,N-A,50000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Sandy,2012,10-29-2012,2:45 PM,11-1-2012,1:30 AM,ISO New England-REMVEC,Eastern Massachusetts,NPCC,Unknown,50000,"severe weather, hurricane-tropical storm"
Severe Weather- Hurricane Isaac,2012,8-29-2012,9:00 AM,8-31-2012,12:00 PM,Louisiana Generating LLC,Louisiana,SERC,300,50000,"severe weather, hurricane-tropical storm"
Severe Weather,2011,10-29-2011,4:16 PM,11-2-2011,9:30 PM,"Consolidated Edison Company of NY, Inc",New York City area,NPCC,UNK,50000,severe weather
Severe Weather,2011,10-29-2011,8:59 AM,11-7-2011,3:00 PM,Potomac Edison,Pennsylvania,RFC,UNK,50000,severe weather
Severe Weather,2011,8-28-2011,12:10 PM,8-28-2011,12:11 PM,ISO New England,Eastern Massachusetts,NPCC,N-A,50000,severe weather
Severe Weather,2011,8-28-2011,5:01 AM,9-3-2011,5:01 AM,"Consolidated Edison Company of NY, Inc.",Borough's and Westshester County New York,NPCC,N-A,50000,severe weather
Severe Weather,2011,3-31-2011,2:30 PM,4-1-2011,11:59 PM,Progress Energy Florida (PEF),Central and Western Florida,FRCC,UNK,50000,severe weather
Severe Weather,2011,2-25-2011,3:20 PM,2-25-2011,6:00 PM,Dominion- Virginia Power,Virginia,SERC,UNK,50000,severe weather
Severe Storm,2010,1-19-2010,2:30 p.m.,1-20-2010,3:00 PM,San Diego Gas & Electric Company,San Diego and Orange Counties,WECC,"2,650",50000,"severe weather, storm"
Load Shedding,2008,12-26-2008,11:40 a.m.,12-26-2008,3:34 p.m.,Sacramento Municipal Utility District,"Orangevale Area of Sacramento, California",WECC,110,50000,load shedding
Ice Storm,2008,12-19-2008,9:00 a.m.,12-20-2008,8:20 a.m.,Midwest ISO,Northwest Indiana,RFC,N-A,50000,"severe weather, winter storm"
Hurricane Ike,2008,9-13-2008,10:24 a.m.,9-27-2008,2:40 p.m.,Louisiana Generating LLC,Southwest Louisiana,SERC,40,50000,"severe weather, hurricane-tropical storm"
High Winds,2006,11-15-2006,1:00 p.m.,11-19-2006,2:35 a.m.,Puget Sound Energy,"Whatcom and Skagit Counties, Washington",WECC,50,50000,"severe weather, wind"
Hurricane Dennis,2005,7-10-2005,12:53 p.m.,7-11-2005,5:33 PM,Alabama Electric Coop Inc.,Southwest Alabama and Western Panhandle of Florida,SERC,51.2,50000,"severe weather, hurricane-tropical storm"
Thunder-Lightning,2000,5-21-2000,NA,5-22-2000,,Duke Power,North Carolina,SERC,150-200,50000,"severe weather, thunderstorm"
