Event Description,Year,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Respondent,Geographic Areas,NERC Region,Demand Loss (MW),Number of Customers Affected,Tags
Severe Weather- Wind & Storms,2012,7-5-2012,7:00 PM,7-6-2012,4:00 PM,Tennessee Valley Authority (TVA),Northeast Tennessee,SERC,N-A,50001,"severe weather, wind, storm"
Thunderstorms,2010,7-21-2010,6:44 p.m.,7-21-2010,8:00 PM,ISO New England,Connecticut,NPCC,N-A,50100,"severe weather, thunderstorm"
High Winds and Rain,2010,3-13-2010,12:00 p.m.,3-15-2010,8:05 PM,ISO New England,Connecticut,NPCC,50,50246,"severe weather, wind, rain"
Storm with High Winds,2003,11-13-2003,7:30 a.m.,11-14-2003,6:30 a.m.,Niagara Mohawk,New York,NPCC,Approx. 180,50280,"severe weather, wind"
Ice Storm,2008,2-13-2008,6:43 p.m.,2-14-2008,12:00 p.m.,ISO New England,State of Maine,NPCC,50,50462,"severe weather, winter storm"
Severe Weather,2011,6-2-2011,11:45 PM,6-4-2011,4:00 PM,South Carolina Electric and Gas,"Greater Columbia, South Carolina",SERC,0,50465,severe weather
Thunderstorms,2010,5-2-2010,2:40 p.m.,5-9-2010,7:30 PM,Tennesse Valley Authority,Tennessee and Mississippi,SERC,N-A,50500,"severe weather, thunderstorm"
Thunderstorms,2004,6-23-2004,7:00 p.m.,6-23-2004,8:00 p.m.,Southern Company,Georgia and Alabama,SERC,50,50595,"severe weather, thunderstorm"
Thunderstorms,2010,6-21-2010,1:48 p.m.,6-22-2010,8:31 PM,Duke Energy Midwest,"Cincinnati, OH",RFC,400,50636,"severe weather, thunderstorm"
High Winds,2008,2-10-2008,6:02 p.m.,2-11-2008,4:00 a.m.,Duke Energy Carolinas,"Greenboro, North Carolina and I-40 Corridor",SERC,300,50718,"severe weather, wind"
Severe Thunderstorms,2009,6-26-2009,5:00 p.m.,6-29-2009,9:00 a.m.,Connecticut Light and Power,Central Connecticut,NPCC,N-A,50752,"severe weather, thunderstorm"
Severe Thunderstorms,2005,8-20-2005,2:15 p.m.,8-20-2005,4:21 p.m.,American Electric Power-AEP West,Northwest Arkansas,ECAR,650,50797,"severe weather, thunderstorm"
High Winds,2003,11-12-2003,5:00 p.m.,11-12-2003,7:00 p.m.,Com Ed,Northern Illinois,MAIN,Est. 371.1,51000,"severe weather, wind"
Severe Weather- Thunderstorms,2013,8-7-2013,12:15 AM,8-7-2013,9:27 PM,We Energies,Eastern Central Wisconsin,MRO,220,51160,"severe weather, thunderstorm"
Load Shed-Declared EECP,2006,4-17-2006,4:35 p.m.,4-17-2006,6:10 p.m.,American Electric Power,AEP Texas Central-Texas North,ERCOT,108,51404,load shedding
Transmission Equipment Failure,2005,6-24-2005,8:37 p.m.,6-24-2005,11:06 p.m.,Commonwealth Edison Company,"Chicago, Illinois",MAIN,350,51500,"equipment failure, transmission interruption"
Severe Weather,2011,7-4-2011,6:00 PM,7-4-2011,9:00 PM,Dominion Virginia Power,Virginia,SERC,150,51580,severe weather
Wind Storms,2005,3-8-2005,11:00 a.m.,3-8-2005,3:00 p.m.,Progress Energy- Carolinas,Eastern and Central North Carolina,SERC,180,51600,"severe weather, wind"
Thunderstorms,2005,4-30-2005,8:00 a.m.,4-30-2005,10:00 a.m.,Southern Company,Alabama and Georgia,SERC,100,51808,"severe weather, thunderstorm"
Equipment Trip & Failure,2013,2-8-2013,11:38 AM,2-8-2013,2:17 PM,Potomac Electric Power Company,District of Columbia  Prince George's County Maryland,RFC,140,52000,equipment failure
Thunderstorms,2010,9-22-2010,4:08 p.m.,9-26-2010,12:00 AM,Duquesne Light Company,"City of Pittsburgh, Pennsylvania",RFC,156,52000,"severe weather, thunderstorm"
Severe Storm,2008,10-25-2008,11:00 p.m.,10-27-2008,7:00 a.m.,ISO New England,Connecticut,NPCC,N-A,52000,"severe weather, storm"
Severe Thunderstorms,2003,7-4-2003,6:00 a.m.,7-4-2003,10:00 a.m.,We Energies,Southeast Wisconsin,MAIN,150,52000,"severe weather, thunderstorm"
Severe Thunderstorm,2005,7-28-2005,8:30 p.m.,8-1-2005,5:00 p.m.,Duke Energy Company-Duke Power Control Area,Piedmont North and South Carolina,SERC,300,52200,"severe weather, thunderstorm"
Severe Weather- Ice-Snow,2013,12-23-2013,3:20 PM,12-25-2013,11:32 AM,Central Maine Power Co,Central Maine Maine,NPCC,Unknown,52500,"severe weather, winter storm"
Ice Storm,2005,12-15-2005,5:05 a.m.,12-16-2005,12:10  p.m.,Southern Company,Northeast Georgia,SERC,75,52659,"severe weather, winter storm"
Severe Weather- Thunderstorms,2012,7-27-2012,5:19 PM,7-28-2012,5:19 PM,Duke Energy Midwest,Central Indiana,RFC,Unknown,52702,"severe weather, thunderstorm"
Severe Weather,2011,6-7-2011,2:00 PM,6-8-2011,6:00 AM,American Electric Power,Ohio,RFC,UNK,52747,severe weather
Severe Weather,2011,4-4-2011,7:00 PM,4-5-2011,12:00 PM,American Electric Power (AEP),"Kentucky, West Virginia",RFC,UNK,52920,severe weather
Winter Storm,2010,2-12-2010,5:00 a.m.,2-12-2010,5:00 PM,American Electric Power,"East Texas, Western Arkansas, Northern Lousiania",SPP,N-A,52999,"severe weather, winter storm"
Severe Weather- Thunderstorms,2013,6-13-2013,5:45 PM,6-14-2013,6:30 PM,Duke Energy Progress,Central and Eastern North Carolina,SERC,Unknown,53000,"severe weather, thunderstorm"
Thunderstorms,2010,6-23-2010,5:48 p.m.,6-24-2010,2:21 AM,Northern Indiana Public Service Company,Northwest Indiana,RFC,N-A,53000,"severe weather, thunderstorm"
Fire-Load Shedding,2008,12-2-2008,4:30 a.m.,12-2-2008,7:00 a.m.,Midwest ISO,"St. Louis, Missouri",RFC,135,53000,"wild fire, load shedding"
Thunderstorms,2008,6-26-2008,5:00 p.m.,6-26-2008,9:30 p.m.,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,N-A,53000,"severe weather, thunderstorm"
Severe Thunderstorm,2005,9-22-2005,11:00 a.m.,9-26-2005,11:30 p.m.,DTE Energy,Southeast Michigan,ECAR,366,53000,"severe weather, thunderstorm"
Severe Weather,2011,8-24-2011,2:51 PM,8-24-2011,10:00 PM,American Electric Power (AEP),"Arkansas, Louisiana, Texas",SPP,N-A,53064,severe weather
Severe Weather,2011,9-5-2011,4:30 PM,9-7-2011,3:45 PM,Southern Company,Alabama  Georgia,SERC,177,53295,severe weather
Interruption of Firm Power,2002,8-2-2002,12:43 PM,8-2-2002,6:36 AM,Central Illinois Light Co.,Illinois,MAIN,232,53565,load shedding
Ice-Snow Storm,2009,1-28-2009,10:00 a.m.,1-30-2009,9:20 p.m.,Duke Energy Ohio,Northern Kentucky and Southwest Ohio,RFC,N-A,53600,"severe weather, winter storm"
Ice-Snow Storm,2009,1-28-2009,7:50 a.m.,2-13-2009,8:03 a.m.,Duke Energy Indiana,Southern Indiana,RFC,N-A,53700,"severe weather, winter storm"
Under Frequency-Load Shedding,2008,2-26-2008,1:09 p.m.,2-26-2008,2:40 p.m.,Tampa Electric Company,Tampa Electric Service Territory,FRCC,318,53965,load shedding
Severe Weather,2011,8-8-2011,8:58 PM,8-10-2011,4:30 PM,Oklahoma Gas & Electric,Northern and Central Oklahoma,SPP,N-A,54000,severe weather
Severe Weather,2011,5-24-2011,4:45 PM,5-26-2011,5:00 PM,Oklahoma Gas & Electric,Central Oklahoma,SPP,UNK,54000,severe weather
Severe Weather,2008,2-12-2008,3:00 p.m.,2-15-2008,5:00 p.m.,Entergy Corporation,"Arkansas, Mississippi, Louisiana",SERC,N-A,54000,severe weather
High Winds,2008,1-30-2008,3:06 a.m.,2-1-2008,2:50 p.m.,Niagara Mohawk Power Corporation,"Western, New York",NPCC,50,54316,"severe weather, wind"
Major Storm,2011,3-21-2011,12:35 PM,3-21-2011,2:45 PM,Southern California Edison Company (SCE),Southern California,WECC,150,54332,"severe weather, storm"
Voltage Reduction-Load Shed,2006,4-7-2006,8:43 a.m.,4-7-2006,9:29 a.m.,Puerto Rico Electric Power Authority,Island of Puerto Rico,PR,116,54700,"voltage reduction, load shedding"
Severe Weather,2011,4-26-2011,9:51 AM,4-28-2011,9:51 AM,Tennessee Valley Authority,"Alabama, Georgia, Mississippi, Tennessee",SERC,UNK,55000,severe weather
Severe Weather,2011,4-22-2011,9:00 PM,4-22-2011,11:00 PM,Ameren,"Metro St. Louis area, Missouri",SERC,0,55000,severe weather
Thunderstorms,2010,7-29-2010,5:43 p.m.,7-29-2010,8:07 PM,Dominion- Virginia Power,Virginia,SERC,N-A,55000,"severe weather, thunderstorm"
Winter Storm,2010,2-25-2010,5:00 p.m.,3-2-2010,7:00 PM,Consolidated Edison of NY,New York City,NPCC,N-A,55000,"severe weather, winter storm"
Severe Thunderstorms,2007,8-9-2007,2:53 p.m.,8-9-2007,4:11 p.m.,Duquesne Light Company,"Highland Area of Pittsburgh, Pennsylvania",RFC,90,55000,"severe weather, thunderstorm"
Severe Thunderstorms,2005,7-23-2005,1:02 a.m.,7-26-2005,10:50 a.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N-A,55118,"severe weather, thunderstorm"
Severe Storms,2003,7-4-2003,11:41 p.m.,7-6-2003,9:00 p.m.,Cinergy,"Southwest Ohio, portions of Indiana",ECAR,200,55142,"severe weather, storm"
Thunderstorms,2008,3-4-2008,9:30 p.m.,3-4-2008,10:45 p.m.,Duke Energy Carolinas,North and South Carolina,SERC,300,55267,"severe weather, thunderstorm"
Transmission Equipment Failure-Fire,2006,5-3-2006,3:30 p.m.,5-3-2006,9:35 p.m.,Pacific Gas and Electric Company,City of Bakersfield area,WECC,300,55655,"equipment failure, wild fire"
Severe Weather- Thunderstorms,2014,6-15-2014,12:00 AM,6-15-2014,1:00 AM,Xcel Energy,Central Minnesota,MRO,Unknown,55951,"severe weather, thunderstorm"
Severe Weather- Heavy Winds,2014,5-9-2014,6:00 PM,5-11-2014,1:00 PM,Vectren Energy Delivery of Indiana,Indiana,RFC,Unknown,56000,"severe weather, wind"
Severe Weather,2011,6-21-2011,6:30 PM,6-22-2011,7:00 AM,American Electric Power (AEP),AEP Region,RFC,UNK,56000,severe weather
Severe Thunderstorms,2011,6-12-2011,7:00 PM,6-12-2011,8:30 PM,Dominion Virginia Power,Virginia,RFC,250,56000,"severe weather, thunderstorm"
Winter Storm,2009,10-9-2009,10:45 p.m.,10-11-2009,4:00 p.m.,Entergy Corporation,Arkansas and North Louisiana,SERC,N-A,56000,"severe weather, winter storm"
Severe Thunderstorms,2008,7-22-2008,3:00 a.m.,7-23-2008,3:30 a.m.,Duke Energy Ohio,Southwest Ohio,RFC,N-A,56000,"severe weather, thunderstorm"
Thunderstorms,2008,7-2-2008,8:00 p.m.,7-3-2008,3:00 a.m.,Detroit Edison Company-DTE,Southeastern Michigan (DTE Service Territory),RFC,N-A,56000,"severe weather, thunderstorm"
Shed Firm Load,2008,2-26-2008,1:09 p.m.,2-26-2008,1:47 p.m.,Seminole Electric Cooperative,FRCC Region-West Coast Florida,FRCC,120,56000,load shedding
Lightning Storm,2008,5-27-2008,2:02 p.m.,5-27-2008,3:52 p.m.,ISO New England,South West Connecticut,NPCC,130,56400,"severe weather, thunderstorm"
Severe Weather- Winter Storm Nemo,2013,2-26-2013,1:00 PM,3-1-2013,10:00 AM,"Associated Electric Coop, Inc",Northern Missouri,SERC,Unknown,56444,"severe weather, winter storm"
Severe Weather- Thunderstorms,2014,6-5-2014,1:06 PM,6-5-2014,1:07 PM,Tennessee Valley Authority,West Tennessee,SERC,Unknown,56475,"severe weather, thunderstorm"
Severe Thunderstorms,2006,9-28-2006,8:08 p.m.,9-28-2006,10:10 p.m.,Dominion- Virginia Power-North Carolina Power,"North, Central and Eastern Virginia and Northern North Carolina",SERC,84,56500,"severe weather, thunderstorm"
Severe Thunderstorms,2009,4-10-2009,10:00 p.m.,4-11-2009,2:30 a.m.,Southern Company,Alabama and Georgia,SERC,162,56679,"severe weather, thunderstorm"
Severe Thunderstorms with Strong Winds,2004,6-2-2004,2:35 a.m.,6-6-2004,6:00 p.m.,American Electric Power,"Tulsa, Oklahoma",ECAR,280,56874,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,4-29-2014,9:37 AM,5-1-2014,9:00 AM,Tennessee Valley Authority,"Northeastern Mississippi, Northern Alabama",SERC,Unknown,57000,"severe weather, thunderstorm"
Severe Weather,2010,8-11-2010,3:21 p.m.,8-11-2010,12:12 PM,American Electric Power,Ohio,RFC,N-A,57000,severe weather
Winter Storm,2010,2-5-2010,10:30 p.m.,2-12-2010,12:00 PM,Duquesne Light Company,Southwestern Pennsylvania,RFC,N-A,57000,"severe weather, winter storm"
Tropical Storm Hanna,2008,9-6-2008,7:45 a.m.,9-6-2008,10:30 a.m.,Progress Energy Carolinas,Eastern North Carolina,SERC,N-A,57000,"severe weather, hurricane-tropical storm"
Severe Weather,2008,2-6-2008,9:00 a.m.,2-6-2008,11:00 a.m.,Tennessee Valley Authority,Mid to West Tennessee,SERC,N-A,57000,severe weather
Severe Weather- Thunderstorms,2012,7-26-2012,6:30 PM,7-27-2012,5:22 PM,American Electric Power (AEP),Eastern Ohio,RFC,Unknown,57054,"severe weather, thunderstorm"
Severe Weather- Wind,2014,4-4-2014,3:30 AM,4-4-2014,8:15 AM,"Entergy Services, Inc.",Central Arkansas,SERC,Unknown,57200,"severe weather, wind"
Severe Weather,2011,5-10-2011,10:21 PM,5-11-2011,2:25 PM,American Electric Power,"Kentucky, West Virginia",RFC,UNK,58000,severe weather
Severe Thunderstorms,2008,7-22-2008,3:00 a.m.,7-24-2008,7:32 p.m.,Duke Energy Indiana,Indiana,RFC,N-A,58000,"severe weather, thunderstorm"
Winter Snow-Ice Storm,2006,2-12-2006,2:00 a.m.,2-13-2006,7:00 a.m.,Delmarva Power,Entire Delmarva Power service territory,RFC,50,58000,"severe weather, winter storm"
Severe Thunderstorms,2009,8-9-2009,7:31 p.m.,8-10-2009,9:59 a.m.,Consumers Energy,"Michigan, Lower Peninsula",RFC,N-A,58156,"severe weather, thunderstorm"
Winter Storm,2010,2-6-2010,8:00 a.m.,2-6-2010,9:00 AM,Delmarva Power & Light Company,Delmarva Peninsula,RFC,N-A,58491,"severe weather, winter storm"
Severe Thunderstorms,2007,8-19-2007,11:34 p.m.,8-20-2007,1:10 a.m.,Dominion Virginia Power,Central and Eastern Virginia,SERC,100,58500,"severe weather, thunderstorm"
Transmission System Interruption,2013,3-3-2013,6:39 AM,3-3-2013,10:29 AM,Pacific Gas & Electric Co,"Merced County, California",WECC,300,58850,transmission interruption
Severe Weather- Ice-Snow,2013,12-22-2013,6:16 AM,12-24-2013,11:59 PM,Niagara Mohawk Power Corp.,Frontier-Genesee-Northern New York,NPCC,Unknown,59000,"severe weather, winter storm"
Severe  Thunderstorms with Strong Winds,2004,6-2-2004,1:46 a.m.,6-7-2004,4:00 p.m.,American Electric Power,"Shreveport, Louisiana",ECAR,350,59057,"severe weather, thunderstorm"
Wind Storm,2006,12-1-2006,6:20 p.m.,12-2-2006,6:00 a.m.,American Electric Power,Ohio,RFC,N-A,59106,"severe weather, wind"
Ice-Snow Storm,2009,1-27-2009,3:43 p.m.,1-29-2009,9:00 a.m.,American Electric Power,CSWS-AEP West,RFC,N-A,59402,"severe weather, winter storm"
Major Transmission Distribution System Interruption,2004,10-28-2004,3:27 p.m.,10-28-2004,6:08 p.m.,Pacific Gas and Electric  Company,"San  Jose, California",WECC,103,59458,transmission interruption
Severe Thunderstorms,2008,8-3-2008,1:30 a.m.,8-3-2008,4:15 a.m.,Entergy Corporation,"Mississippi, Louisiana, Texas",SERC,N-A,59500,"severe weather, thunderstorm"
Earthquakes,2006,10-15-2006,7:09 a.m.,10-15-2006,4:12 p.m.,"Maui Electric Company, Ltd.",Island of Maui,HECO,110,59886,earthquake
Severe Weather- Thunderstorms,2012,6-30-2012,10:30 PM,7-2-2012,8:11 AM,"Southern Maryland Electric Cooperative, Inc.","Calvert, Charles, St. Mary's, Prince Georges Counties Maryland",RFC,354,60000,"severe weather, thunderstorm"
Severe Weather,2011,12-7-2011,7:29 PM,12-7-2011,10:57 PM,Dominion Virginia Power,Central Virginia,SERC,240,60000,severe weather
Severe Weather,2011,12-1-2011,10:00 AM,12-2-2011,1:11 PM,PacifiCorp,Wasatch Front Area Utah,WECC,UNK,60000,severe weather
Winter Storm,2011,2-9-2011,3:45 AM,2-9-2011,9:12 AM,CenterPoint Energy,"Western Houston, Texas",TRE,399,60000,"severe weather, winter storm"
Winter Storm,2010,11-21-2010,1:39 a.m.,11-24-2010,4:46 PM,Pacific Gas and Electric,Northern and Central California,WECC,75,60000,"severe weather, winter storm"
Winter Storm,2010,11-13-2010,3:00 p.m.,11-14-2010,10:00 PM,Xcel Energy-Northern States Power Company,Minnesota,MRO,N-A,60000,"severe weather, winter storm"
Severe Weather,2009,3-1-2009,4:00 p.m.,3-1-2009,11:25 p.m.,Southern Company,Southern Balancing Area,SERC,75,60000,severe weather
Ice Storm,2008,12-11-2008,6:00 p.m.,12-15-2008,12:00 a.m.,Central Hudson Gas and Electric,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,NPCC,N-A,60000,"severe weather, winter storm"
Storm,2008,6-10-2008,11:00 p.m.,6-11-2008,9:00 a.m.,ISO New England,All Six New England States,NPCC,50,60000,"severe weather, storm"
Major Storm,2007,7-19-2007,3:00 p.m.,7-22-2007,11:30 p.m.,DTE Energy  (Detroit Edison),Southwestern Region of Service Territory,RFC,-,60000,"severe weather, storm"
Major Snow Storm,2006,2-12-2006,12:06 a.m.,2-14-2006,5:44 p.m.,Potomac Electric Power Company,"Washington DC, Montgomery and Prince Georges Counties MD",RFC,300,60000,"severe weather, winter storm"
Hurricane Ophelia,2005,9-14-2005,3:00 p.m.,9-15-2005,3:00 p.m.,Progress Energy- Carolinas,Eastern North Carolina,SERC,215,60000,"severe weather, hurricane-tropical storm"
Tornado,2000,12-16-2000,11:36 a.m.,12-18-2000,6:00 p.m.,Alabama Power Co.,"Geneva, Southeast Alabama",SERC,NA,60000,"severe weather, tornado"
Fault on 138 KV line,2003,12-4-2003,10:34 p.m.,12-7-2003,8:30 a.m.,"American Transmission Company, LLC",Northeast Wisconsin and Central-Western Upper Peninsula of Michigan,MAIN,650,60000,equipment failure
Severe Weather,2010,12-12-2010,4:30 p.m.,12-15-2010,2:00 PM,Detroit Edison,Southeastern Michigan,RFC,210,60175,severe weather
Major Storm,2011,3-23-2011,6:30 PM,3-24-2011,4:55 AM,American Electric Power- AEP,"Indiana. Kentucky, Michigan, Ohio, Tennessee, Virginia, West Virginia",RFC,UNK,60596,"severe weather, storm"
Snow and High Winds,2010,11-8-2010,6:47 a.m.,11-8-2010,6:00 PM,ISO New England,Maine,NPCC,N-A,60863,"severe weather, winter storm, wind"
Uncontrolled Loss,2008,6-11-2008,1:15 p.m.,6-11-2008,2:05 p.m.,New York Independent System Operator,New York State,NPCC,200,61000,uncontrolled loss
Tropical Storm Ernesto,2006,9-1-2006,5:30 a.m.,9-1-2006,10:00 a.m.,"Progress Energy Carolinas, Inc.",Eastern North Carolina,SERC,N-A,61000,"severe weather, hurricane-tropical storm"
Severe Storms,2004,7-25-2004,10:00 p.m.,7-25-2004,11:00 p.m.,Southern Company,"Georgia, Alabama, Florida panhandle, Southern Mississippi",SERC,61,61004,"severe weather, storm"
Severe Weather- High Winds,2014,3-12-2014,7:35 PM,3-13-2014,12:00 PM,Duke Energy Carolinas,North Carolina,SERC,250,61377,"severe weather, wind"
Severe Weather- Thunderstorms,2012,8-4-2012,4:00 AM,8-4-2012,7:20 AM,Northern Indiana Public Service Company,Northern Indiana,RFC,N-A,61413,"severe weather, thunderstorm"
Wildfire,2004,7-20-2004,3:44 p.m.,7-20-2004,5:51 p.m.,Puerto Rico Electric Power Authority,"Regions of  San Juan, Caguas, Ponce, Bayamon, Carolina, Arecibo and Mayaguez",PR,200,61624,wild fire
Severe Weather- Thunderstorms,2013,11-17-2013,4:47 PM,11-20-2013,4:47 PM,Duke Energy Midwest,Central Indiana,RFC,Unknown,61705,"severe weather, thunderstorm"
Severe Weather- Tornadoes,2013,11-17-2013,4:47 PM,11-20-2013,11:59 AM,Duke Energy Indiana Inc,Central Indiana,RFC,535,61705,"severe weather, tornado"
Severe Weather- Thunderstorms,2013,5-29-2013,8:58 PM,5-31-2013,2:53 PM,Niagara Mohawk Power Corp.,Central and Eastern New York,NPCC,Unknown,61795,"severe weather, thunderstorm"
Voltage Reduction due to Severe Weather- Cold,2014,1-6-2014,7:50 PM,1-6-2014,8:49 PM,"UGI Utilities, Inc",Pennsylvania,RFC,200,62000,"severe weather, cold"
Severe Weather,2011,5-2-2011,5:06 PM,5-2-2011,8:00 PM,Hawaiian Electric Company,Hawaii,PR,220,62000,severe weather
Severe Weather- Snow-Ice,2014,2-5-2014,7:35 AM,2-7-2014,4:03 AM,PPL Electric Utilities Corp,"Lancaster Region, Pennsylvania",RFC,Unknown,62159,"severe weather, winter storm"
Winter Storm,2009,1-27-2009,11:00 a.m.,1-30-2009,6:00 p.m.,"Associated Electric Cooperative, Inc.",South Central and Southeast Missouri,SERC,200,62500,"severe weather, winter storm"
Strong Thunderstorms,2004,5-11-2004,3:30 p.m.,5-11-2004,6:00 p.m.,CenterPoint Energy,"Houston, Texas and surrounding suburban areas",ERCOT,Approx. 85,62500,"severe weather, thunderstorm"
Tropical Storm,2007,11-3-2007,6:00 p.m.,11-4-2007,6:00 a.m.,ISO New England,"Eastern Massachusetts, Rhode Island, Cape Cod",NPCC,100,62843,"severe weather, hurricane-tropical storm"
Severe Weather,2011,4-4-2011,11:47 AM,4-8-2011,12:01 AM,Tennessee Valley Authority,"Memphis, Tennessee",SERC,359,63000,severe weather
Severe Weather,2011,4-4-2011,1:00 PM,4-5-2011,12:00 AM,Memphis Light Gas and Water Division,"Shelby County, Tennessee",SERC,300,63000,severe weather
High Winds,2010,10-27-2010,4:00 a.m.,10-27-2010,12:00 PM,Wisconsin Public Service Corporation,Northeast and North Central Wisconsin,MRO,N-A,63000,"severe weather, wind"
"Strong Winds, Tornadoes",2010,7-17-2010,8:30 p.m.,7-19-2010,10:00 PM,Xcel Energy,Minnesota,MRO,N-A,63000,"severe weather, tornado"
Severe Thunderstorms,2009,2-11-2009,9:00 p.m.,2-12-2009,12:00 p.m.,Midwest ISO,Northern Kentucky and Southwest Ohio,RFC,350,63000,"severe weather, thunderstorm"
Severe Storms,2008,8-5-2008,3:00 a.m.,8-5-2008,9:50 a.m.,Northern Indiana Public Service Company,Northwest Indiana,RFC,0,63000,"severe weather, storm"
Severe Thunderstorm,2007,8-13-2007,1:30 a.m.,8-14-2007,12:00 a.m.,Ameren Corporation,State of Missouri,SERC,N-A,63000,"severe weather, thunderstorm"
Severe Storm,2006,1-18-2006,3:16 p.m.,1-18-2006,6:34 p.m.,Central Maine Power Company,Southern and Central Maine,NPCC,75,63000,"severe weather, storm"
High Winds- Severe Storm,2004,3-4-2004,5:00 a.m.,3-16-2004,2:45 p.m.,Electric Reliability Council of Texas,North Texas,ERCOT,Less than 300,63000,"severe weather, wind"
Fire,2002,7-20-2002,12:40 PM,7-20-2002,8:12 AM,Consolidated Edison Co. of New York,New York,NPCC,278,63500,wild fire
Thunderstorms,2009,8-4-2009,1:45 p.m.,8-8-2009,9:00 p.m.,Duke Energy Midwest,"Northern Kentucky, Southwest Ohio and Central and South Indiana",RFC,50,63700,"severe weather, thunderstorm"
Wind-Snow Storm,2006,11-26-2006,1:00 p.m.,12-2-2006,6:00 p.m.,Snohomish County PUD #1,"Snohomish County, Washington",WECC,180,63992,"severe weather, winter storm"
Severe Weather,2011,4-19-2011,10:44 PM,4-20-2011,2:00 AM,Memphis Light Gas and Water Division,"Memphis, Tennessee",SERC,100,64000,severe weather
Tropical Storm Hanna,2008,9-6-2008,2:15 p.m.,9-6-2008,4:06 p.m.,Dominion-Virginia Power,North East North Carolina and Virginia,SERC,220,64463,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2012,7-7-2012,6:06 AM,7-9-2012,11:00 PM,PPL Electric Utilities Corp,"Lower Valley, Central, Susquehanna Regions Pennsylvania",RFC,N-A,64500,"severe weather, thunderstorm"
High Winds,2009,2-11-2009,2:30 a.m.,2-11-2009,12:00 p.m.,CenterPoint Energy,"Houston, Texas",TRE,350,64801,"severe weather, wind"
Severe Thunderstorm,2005,7-27-2005,5:50 p.m.,7-30-2005,9:07 p.m.,Potomac Electric Power Company (Pepco),"Washington, DC, Montgomery and Prince Georges Counties, Maryland",MAAC,N-A,64943,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,9-7-2012,9:30 PM,9-8-2012,1:00 AM,Entergy Corp,Arkansas,SERC,UNK,64951,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2014,6-7-2014,11:00 PM,6-8-2014,5:30 AM,Southern Company,"North and Central , Alabama",SERC,217,65000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,9-8-2012,3:40 PM,9-8-2012,6:45 PM,PEPCO (Potomac Electric Power Company),"Prince George's County, Montgomery County Maryland  D.C.",RFC,UNK,65000,"severe weather, thunderstorm"
Severe Weather- Thunderstorms,2012,7-26-2012,6:21 PM,7-28-2012,11:30 PM,PPL Electric Utilities Corp,North-Central Pennsylvania,RFC,N-A,65000,"severe weather, thunderstorm"
Severe Weather,2011,9-29-2011,5:00 AM,9-30-2011,6:00 AM,CenterPoint Energy,"Houston metro area, Texas",TRE,N-A,65000,severe weather
Severe Weather,2011,8-20-2011,5:42 PM,8-23-2011,8:00 PM,"Detroit Edison, Subsidiary of DTE Energy",Southeastern Michigan,RFC,254,65000,severe weather
Winter Storm,2010,2-25-2010,12:01 a.m.,2-26-2010,9:00 PM,Orange and Rockland Utilities Inc,"Southeastern New York, Northern New Jersey",,N-A,65000,"severe weather, winter storm"
Wet Snow-Winds,2006,10-26-2006,5:30 a.m.,10-27-2006,5:10 p.m.,Xcel Energy,"Metro Denver and Boulder, Colorado",MRO,N-A,65000,"severe weather, winter storm"
Severe Thunderstorm,2006,8-10-2006,8:00 p.m.,8-12-2006,12:00 p.m.,Idaho Power Company,Southwest Idaho and Eastern Oregon,WECC,80 to 100,65000,"severe weather, thunderstorm"
Strong Thunderstorms,2005,6-6-2005,12:00 p.m.,6-8-2005,6:00 p.m.,New York  State Electric and Gas,Central-Eastern New York state,NPCC,N-A,65000,"severe weather, thunderstorm"
Hurricane Frances,2004,9-5-2004,1:00 a.m.,9-9-2004,5:00 p.m.,Orlando Utilities Commission,"Orlando, Florida",FRCC,200,65000,"severe weather, hurricane-tropical storm"
Severe Weather- Thunderstorms,2012,7-26-2012,6:14 PM,7-27-2012,6:14 PM,FirstEnergy Corp.: Pennsylvania Electric Company,Western Pennsylvania,RFC,N-A,65112,"severe weather, thunderstorm"
Equipment Failure,2013,6-28-2013,6:02 PM,6-28-2013,8:46 PM,Southern California Edison Co,"Los Angeles and Orange Counties, California",WECC,240,65255,equipment failure
Severe Weather,2006,3-12-2006,8:30 p.m.,3-14-2006,12:00 p.m.,"City Water Light and Power (Springfield, Illinois)","Springfield, Illinois and vicinity",RFC,200,65400,severe weather
Severe Weather,2009,12-10-2009,5:45 p.m.,12-12-2009,8:00 a.m.,Detroit Edison,Michigan,RFC,N-A,65562,severe weather
Severe Weather- Winter Storm,2014,3-3-2014,6:40 AM,3-3-2014,3:28 PM,Tennessee Valley Authority,Tennessee,SERC,Unknown,65904,"severe weather, winter storm"
Severe Weather- Snow-Ice,2014,2-20-2014,4:40 PM,2-21-2014,11:59 PM,Ameren Missouri,"Missouri, Illinois",SERC,Unknown,66000,"severe weather, winter storm"
